,word,1501-1550,1551-1600,1601-1650,1651-1700
3299,dico,43255,122549,42457,72224
960,pars,33225,93059,44337,52385
3871,possum,25029,82700,38391,76841
6039,habeo,31690,89199,39443,59770
2898,facio,31814,98524,36944,51438
5630,liber,39559,65900,38496,53100
4259,res,29069,70669,28291,51565
1219,uideo,21536,59099,26372,50503
5787,locus,23102,56782,31421,43680
1257,corpus,16979,63171,22871,31938
3514,dies,15785,44607,25850,44412
4985,do,17291,47879,25457,36720
1879,primus,19306,52164,25164,27764
1095,aqua,11747,41231,20765,34038
6532,terra,14371,27580,26947,38857
6430,motus,11987,35310,24422,35870
2846,ratio,12519,42955,20567,31100
2202,natura,13925,46648,17722,24288
1789,magnus,14494,39035,19243,26346
4295,tempus,12875,32854,18432,30522
3088,annus,8904,27744,18557,36985
888,capitulum,15949,28102,17965,27975
1759,deus,10097,39366,14972,24714
6239,uis,12446,31961,14519,23510
4466,caput,13294,32259,13811,22441
1191,genus,13558,36896,11719,17143
1758,homo,12424,31533,12455,20588
6597,uoco,15635,34249,11122,15825
239,causa,9098,33708,12511,19297
5086,uerus,10749,25548,15319,22908
2975,modus,10149,29876,13943,19001
4961,fio,10431,32838,12137,16443
5811,nomen,12996,27871,11102,18266
1732,linea,9105,29015,14550,16903
1129,medius,11409,24424,15131,18047
5079,os,15388,29140,13412,10865
5672,scribo,14543,27875,9453,15762
4352,sol,9617,16339,17566,21086
6168,similis,8387,28769,10841,15399
1476,rego,6114,26003,13454,16839
4021,aequalis,6342,21313,14968,17950
4402,angulus,6781,27600,12268,13485
754,secundus,10341,23847,10941,13275
2665,luna,9108,11236,15625,21885
909,tertius,10543,24395,10545,11898
33,latus,8681,24220,11797,12502
3932,minor,6468,18451,12974,16669
852,maior,5712,15882,13249,19043
251,pono,7591,22752,9045,14271
2885,sequor,6963,18902,10293,17357
4288,aer,4750,16834,10453,21423
2315,color,6554,21292,12258,13354
5462,numerus,10659,20868,8591,13113
4181,oculus,6475,20697,10894,14770
1142,forma,4213,28631,10457,9357
2986,figura,6695,15219,13359,16623
4880,materia,3886,26092,10171,11426
6056,animal,5417,22934,7395,15449
4757,circulus,8831,17113,13588,11344
1345,species,5675,21742,10398,12592
1135,usus,6147,21553,10318,11886
6177,uolo,7198,17765,8171,16605
2586,debeo,5079,19464,8539,16383
4812,sanguis,6780,24412,6756,10983
5175,ago,5514,21401,9303,12700
4547,opus,7938,15033,10235,14791
559,decimus,4530,21943,7120,12897
5376,folium,10630,20369,7877,7255
901,inuenio,7430,15819,8896,13484
2171,cor,10583,17460,5876,11425
4706,bornellum,2874,22872,7668,11784
6316,inquam,6287,20923,7761,9807
1117,moueo,6685,17617,8435,11053
2680,fero,7692,16626,8450,10487
5310,centrum,4141,12556,11041,15460
5346,stella,6807,10392,8510,16972
2216,appello,9421,19262,6472,7393
3120,radix,10119,18831,5526,7535
4102,uerbum,6754,15814,6246,13130
3205,semen,7887,19628,6951,7084
1984,morbus,6698,19190,7225,7981
6293,duco,5618,15184,7572,12556
4079,addo,5352,13810,8318,13007
2989,uita,5790,14774,8540,10839
6567,ignis,4690,15044,8548,11345
3311,anima,3744,22283,7870,5320
3462,plinius,8986,17296,6018,6476
6052,nascor,7214,14897,7627,8416
5636,signum,8267,16163,6169,7408
5324,uarius,5137,9994,8086,14551
2454,uir,6029,13811,6095,11590
4447,calor,4033,18751,7046,7428
2691,ars,5647,14671,6604,10236
3020,hora,4708,10656,7772,13835
4297,mundus,3423,14117,7052,12353
