1501-1550,1551-1600,1601-1650,1651-1700
concentus,concentus,concentus,concentus
organum,consono,musicus,musicus
musicus,concino,musica,musica
concino,musicus,consono,dissonus
musica,musica,concinnus,consono
uox,concinnus,compositio,organum
communio,sonus,sonus,dispositio
immortalitas,dissonus,decanto,modulus
corporeus,concors,ordo,chorda
imitatio,resulto,autor,sonus
compono,compositio,theologus,compono
fabrica,citharaa,hymnio,admirabilis
politia,cantus,attendo,dulcissimus
communitas,compositus,attentio,chorus
sonus,compono,compono,mirus
functio,actio,cantor,difficilimus
concinnus,mundanus,consentio,ordo
copula,accommodatus,oratio,ordino
inuiolatus,cithara,adiungo,suauis
immortalis,motio,numerus,concinnus
